date,octree,npoints,operation,kernel,radius,num_searches,repeats,accumulated,mean,median,stdev,used_warmup
2024-12-11-13:23:11,linear <Lpoint64, MortonEncoder> ,10000000,numNeighSearch,Square,0.5,10000,5,0.722329,0.144466,0.134571,0.0228117,1
2024-12-11-13:23:12,linear <Lpoint64, MortonEncoder> ,10000000,numNeighSearch,Sphere,1,10000,5,0.692087,0.138417,0.143706,0.0121504,1
2024-12-11-13:23:14,linear <Lpoint64, MortonEncoder> ,10000000,numNeighSearch,Circle,1,10000,5,1.17543,0.235086,0.232108,0.00707072,1
2024-12-11-13:23:14,linear <Lpoint64, MortonEncoder> ,10000000,numNeighSearch,Cube,1,10000,5,0.499734,0.0999469,0.0964206,0.00687629,1
2024-12-11-13:23:15,linear <Lpoint64, MortonEncoder> ,10000000,numNeighSearch,Square,1,10000,5,0.91704,0.183408,0.179725,0.0112213,1
2024-12-11-13:23:18,linear <Lpoint64, MortonEncoder> ,10000000,numNeighSearch,Sphere,2.5,10000,5,2.30812,0.461625,0.458281,0.0240309,1
2024-12-11-13:23:21,linear <Lpoint64, MortonEncoder> ,10000000,numNeighSearch,Circle,2.5,10000,5,2.59554,0.519108,0.5243,0.025109,1
2024-12-11-13:23:23,linear <Lpoint64, MortonEncoder> ,10000000,numNeighSearch,Cube,2.5,10000,5,1.20032,0.240064,0.231227,0.0115544,1
2024-12-11-13:23:25,linear <Lpoint64, MortonEncoder> ,10000000,numNeighSearch,Square,2.5,10000,5,1.53396,0.306793,0.297094,0.0209381,1
2024-12-11-13:23:32,linear <Lpoint64, MortonEncoder> ,10000000,numNeighSearch,Sphere,5,10000,5,6.1058,1.22116,1.21422,0.0401487,1
2024-12-11-13:23:39,linear <Lpoint64, MortonEncoder> ,10000000,numNeighSearch,Circle,5,10000,5,5.80572,1.16114,1.15187,0.0387764,1
2024-12-11-13:23:41,linear <Lpoint64, MortonEncoder> ,10000000,numNeighSearch,Cube,5,10000,5,2.17574,0.435149,0.43146,0.00701835,1
2024-12-11-13:23:45,linear <Lpoint64, MortonEncoder> ,10000000,numNeighSearch,Square,5,10000,5,2.6223,0.524459,0.521818,0.00946454,1
