date,octree,point_type,encoder,npoints,operation,kernel,radius,num_searches,sequential_searches,repeats,accumulated,mean,median,stdev,used_warmup,warmup_time,avg_result_size,tolerance_percentage,openmp_threads,openmp_schedule,l1d_miss,l2d_miss,l3_miss
2025-07-09-14:43:44,LinearOctree,Point,HilbertEncoder3D,10000000,KNNV2,KNN,500,10000,random,5,0.136943,0.0273886,0.0274182,0.000143382,1,0.0275921,500,0,40,dynamic,421800,280959,207996
2025-07-09-14:43:45,LinearOctree,Point,HilbertEncoder3D,10000000,KNNV2,KNN,1000,10000,random,5,0.242208,0.0484416,0.048488,0.000136135,1,0.04856,1000,0,40,dynamic,761633,461511,329247
2025-07-09-14:43:48,PCLOctree,Point,HilbertEncoder3D,10000000,KNNPCLOCT,KNN,10,10000,random,5,0.0241489,0.00482978,0.00426076,0.00101758,1,0.00471596,10,0,40,dynamic,59087,49463,34493
2025-07-09-14:43:48,PCLOctree,Point,HilbertEncoder3D,10000000,KNNPCLOCT,KNN,50,10000,random,5,0.0478399,0.00956799,0.00827805,0.00177302,1,0.0113418,50,0,40,dynamic,98551,90743,69479
2025-07-09-14:43:48,PCLOctree,Point,HilbertEncoder3D,10000000,KNNPCLOCT,KNN,250,10000,random,5,0.119436,0.0238872,0.0238857,6.35951e-05,1,0.023913,250,0,40,dynamic,221038,207632,166935
2025-07-09-14:43:48,PCLOctree,Point,HilbertEncoder3D,10000000,KNNPCLOCT,KNN,500,10000,random,5,0.222465,0.0444931,0.0444675,0.00011779,1,0.0448636,500,0,40,dynamic,366542,322872,260920
2025-07-09-14:43:49,PCLOctree,Point,HilbertEncoder3D,10000000,KNNPCLOCT,KNN,1000,10000,random,5,0.45194,0.0903879,0.0898766,0.00121614,1,0.090205,1000,0,40,dynamic,669946,571715,434419
2025-07-09-14:43:54,PCLKDTree,Point,HilbertEncoder3D,10000000,neighborsPCLKD,KNN,10,10000,random,5,0.0184712,0.00369424,0.00211519,0.00229004,1,0.0044088,10,0,40,dynamic,25077,21298,13459
2025-07-09-14:43:54,PCLKDTree,Point,HilbertEncoder3D,10000000,neighborsPCLKD,KNN,50,10000,random,5,0.0254489,0.00508978,0.00399191,0.0022435,1,0.00562652,50,0,40,dynamic,45186,42290,31651
2025-07-09-14:43:54,PCLKDTree,Point,HilbertEncoder3D,10000000,neighborsPCLKD,KNN,250,10000,random,5,0.089912,0.0179824,0.0179365,0.000108328,1,0.017974,250,0,40,dynamic,147553,150565,115949
2025-07-09-14:43:54,PCLKDTree,Point,HilbertEncoder3D,10000000,neighborsPCLKD,KNN,500,10000,random,5,0.147111,0.0294222,0.0293829,0.000141866,1,0.029525,500,0,40,dynamic,273194,217889,174265
2025-07-09-14:43:54,PCLKDTree,Point,HilbertEncoder3D,10000000,neighborsPCLKD,KNN,1000,10000,random,5,0.291658,0.0583316,0.0583415,0.000156415,1,0.0586018,1000,0,40,dynamic,574078,361464,283469
2025-07-09-14:43:57,NanoflannKDTree,Point,HilbertEncoder3D,10000000,KNNNanoflann,KNN,10,10000,random,5,0.0182889,0.00365778,0.00296315,0.000900415,1,0.00317283,10,0,40,dynamic,55719,71684,51364
2025-07-09-14:43:57,NanoflannKDTree,Point,HilbertEncoder3D,10000000,KNNNanoflann,KNN,50,10000,random,5,0.0372696,0.00745393,0.00630235,0.00243855,1,0.00544856,50,0,40,dynamic,106945,143612,107068
2025-07-09-14:43:57,NanoflannKDTree,Point,HilbertEncoder3D,10000000,KNNNanoflann,KNN,250,10000,random,5,0.0930005,0.0186001,0.0186334,8.42132e-05,1,0.0186466,250,0,40,dynamic,212320,261959,203634
2025-07-09-14:43:57,NanoflannKDTree,Point,HilbertEncoder3D,10000000,KNNNanoflann,KNN,500,10000,random,5,0.251015,0.050203,0.0502635,0.000139191,1,0.0502345,500,0,40,dynamic,335026,364304,289710
2025-07-09-14:43:58,NanoflannKDTree,Point,HilbertEncoder3D,10000000,KNNNanoflann,KNN,1000,10000,random,5,0.81635,0.16327,0.163372,0.000944195,1,0.162673,1000,0,40,dynamic,655559,591321,494229
