date,octree,npoints,operation,kernel,radius,num_searches,repeats,accumulated,mean,median,stdev,used_warmup
2024-11-29-11:32:48,pointer <Lpoint> sorted,17747769,neighSearch,Square,1,1000,5,0.0252661,0.00505321,0.00453561,0.000996008,1
2024-11-29-11:32:48,pointer <Lpoint> sorted,17747769,neighSearch,Sphere,2.5,1000,5,0.0257897,0.00515794,0.00479548,0.00084061,1
2024-11-29-11:32:48,pointer <Lpoint> sorted,17747769,neighSearch,Circle,2.5,1000,5,0.0506996,0.0101399,0.0103821,0.000790294,1
2024-11-29-11:32:48,pointer <Lpoint> sorted,17747769,neighSearch,Cube,2.5,1000,5,0.028651,0.00573021,0.00548962,0.000474309,1
2024-11-29-11:32:48,pointer <Lpoint> sorted,17747769,neighSearch,Square,2.5,1000,5,0.0491793,0.00983587,0.00988474,0.000395563,1
2024-11-29-11:32:48,pointer <Lpoint> sorted,17747769,neighSearch,Sphere,5,1000,5,0.0772755,0.0154551,0.0153446,0.00108824,1
2024-11-29-11:32:48,pointer <Lpoint> sorted,17747769,neighSearch,Circle,5,1000,5,0.122045,0.024409,0.0242016,0.000830685,1
2024-11-29-11:32:48,pointer <Lpoint> sorted,17747769,neighSearch,Cube,5,1000,5,0.0951123,0.0190225,0.0188453,0.00169006,1
2024-11-29-11:32:48,pointer <Lpoint> sorted,17747769,neighSearch,Square,5,1000,5,0.137118,0.0274236,0.0273499,0.00108654,1
2024-11-29-11:32:49,pointer <Lpoint> sorted,17747769,neighSearch,Sphere,10,1000,5,0.28822,0.057644,0.0573058,0.000743509,1
2024-11-29-11:32:49,pointer <Lpoint> sorted,17747769,neighSearch,Circle,10,1000,5,0.402141,0.0804283,0.0798741,0.0014045,1
2024-11-29-11:32:50,pointer <Lpoint> sorted,17747769,neighSearch,Cube,10,1000,5,0.323818,0.0647636,0.065328,0.00206337,1
2024-11-29-11:32:50,pointer <Lpoint> sorted,17747769,neighSearch,Square,10,1000,5,0.429379,0.0858757,0.0863791,0.00101869,1
2024-11-29-11:32:50,pointer <Lpoint> sorted,17747769,numNeighSearch,Sphere,0.5,1000,5,0.0106508,0.00213016,0.00161339,0.00124551,1
2024-11-29-11:32:50,pointer <Lpoint> sorted,17747769,numNeighSearch,Circle,0.5,1000,5,0.00829367,0.00165873,0.00148534,0.000657629,1
2024-11-29-11:32:50,pointer <Lpoint> sorted,17747769,numNeighSearch,Cube,0.5,1000,5,0.00727436,0.00145487,0.00148387,0.000392806,1
2024-11-29-11:32:50,pointer <Lpoint> sorted,17747769,numNeighSearch,Square,0.5,1000,5,0.00773615,0.00154723,0.00138596,0.000388474,1
2024-11-29-11:32:50,pointer <Lpoint> sorted,17747769,numNeighSearch,Sphere,1,1000,5,0.00924547,0.00184909,0.00155086,0.000713621,1
2024-11-29-11:32:50,pointer <Lpoint> sorted,17747769,numNeighSearch,Circle,1,1000,5,0.00792384,0.00158477,0.00171678,0.000577179,1
2024-11-29-11:32:50,pointer <Lpoint> sorted,17747769,numNeighSearch,Cube,1,1000,5,0.00942827,0.00188565,0.00198259,0.000620016,1
2024-11-29-11:32:50,pointer <Lpoint> sorted,17747769,numNeighSearch,Square,1,1000,5,0.0108932,0.00217863,0.00236024,0.000846812,1
2024-11-29-11:32:50,pointer <Lpoint> sorted,17747769,numNeighSearch,Sphere,2.5,1000,5,0.0102649,0.00205298,0.00235098,0.000960901,1
2024-11-29-11:32:50,pointer <Lpoint> sorted,17747769,numNeighSearch,Circle,2.5,1000,5,0.0135955,0.0027191,0.00269155,0.000515594,1
2024-11-29-11:32:50,pointer <Lpoint> sorted,17747769,numNeighSearch,Cube,2.5,1000,5,0.0169642,0.00339285,0.00405019,0.0011853,1
2024-11-29-11:32:50,pointer <Lpoint> sorted,17747769,numNeighSearch,Square,2.5,1000,5,0.0155486,0.00310971,0.00299359,0.000289599,1
2024-11-29-11:32:50,pointer <Lpoint> sorted,17747769,numNeighSearch,Sphere,5,1000,5,0.0148057,0.00296113,0.0028218,0.000598015,1
2024-11-29-11:32:50,pointer <Lpoint> sorted,17747769,numNeighSearch,Circle,5,1000,5,0.020399,0.0040798,0.00373284,0.000658657,1
2024-11-29-11:32:50,pointer <Lpoint> sorted,17747769,numNeighSearch,Cube,5,1000,5,0.0166793,0.00333586,0.00323766,0.000590674,1
2024-11-29-11:32:50,pointer <Lpoint> sorted,17747769,numNeighSearch,Square,5,1000,5,0.0170439,0.00340878,0.00315664,0.000574297,1
2024-11-29-11:32:50,pointer <Lpoint> sorted,17747769,numNeighSearch,Sphere,10,1000,5,0.0300228,0.00600456,0.00597395,0.000459791,1
2024-11-29-11:32:50,pointer <Lpoint> sorted,17747769,numNeighSearch,Circle,10,1000,5,0.0375994,0.00751989,0.00738438,0.000972613,1
2024-11-29-11:32:50,pointer <Lpoint> sorted,17747769,numNeighSearch,Cube,10,1000,5,0.0313274,0.00626548,0.00614372,0.000836758,1
2024-11-29-11:32:50,pointer <Lpoint> sorted,17747769,numNeighSearch,Square,10,1000,5,0.0378798,0.00757595,0.0078112,0.00121592,1
2024-11-29-11:32:54,pointer <Lpoint64> unsorted,17747769,neighSearch,Sphere,0.5,1000,5,0.020941,0.00418821,0.00380084,0.0014324,1
2024-11-29-11:32:54,pointer <Lpoint64> unsorted,17747769,neighSearch,Circle,0.5,1000,5,0.0215308,0.00430615,0.00432498,0.000885004,1
2024-11-29-11:32:54,pointer <Lpoint64> unsorted,17747769,neighSearch,Cube,0.5,1000,5,0.0200216,0.00400433,0.00364057,0.00108795,1
2024-11-29-11:32:54,pointer <Lpoint64> unsorted,17747769,neighSearch,Square,0.5,1000,5,0.0250253,0.00500507,0.00503415,0.000873941,1
2024-11-29-11:32:54,pointer <Lpoint64> unsorted,17747769,neighSearch,Sphere,1,1000,5,0.0213683,0.00427367,0.00402003,0.000654463,1
2024-11-29-11:32:54,pointer <Lpoint64> unsorted,17747769,neighSearch,Circle,1,1000,5,0.0342285,0.00684571,0.00755372,0.00112177,1
2024-11-29-11:32:54,pointer <Lpoint64> unsorted,17747769,neighSearch,Cube,1,1000,5,0.0186372,0.00372743,0.00364761,0.000530473,1
2024-11-29-11:32:54,pointer <Lpoint64> unsorted,17747769,neighSearch,Square,1,1000,5,0.0266687,0.00533373,0.0049692,0.000605562,1
2024-11-29-11:32:54,pointer <Lpoint64> unsorted,17747769,neighSearch,Sphere,2.5,1000,5,0.0396463,0.00792926,0.00779793,0.000623396,1
2024-11-29-11:32:54,pointer <Lpoint64> unsorted,17747769,neighSearch,Circle,2.5,1000,5,0.0598322,0.0119664,0.0117864,0.00107862,1
2024-11-29-11:32:54,pointer <Lpoint64> unsorted,17747769,neighSearch,Cube,2.5,1000,5,0.0385129,0.00770259,0.00779219,0.000715014,1
2024-11-29-11:32:54,pointer <Lpoint64> unsorted,17747769,neighSearch,Square,2.5,1000,5,0.0631916,0.0126383,0.0122948,0.000726529,1
2024-11-29-11:32:54,pointer <Lpoint64> unsorted,17747769,neighSearch,Sphere,5,1000,5,0.0873348,0.017467,0.0173812,0.000793152,1
2024-11-29-11:32:55,pointer <Lpoint64> unsorted,17747769,neighSearch,Circle,5,1000,5,0.142746,0.0285493,0.0282522,0.00105565,1
2024-11-29-11:32:55,pointer <Lpoint64> unsorted,17747769,neighSearch,Cube,5,1000,5,0.105323,0.0210646,0.0211112,0.000869273,1
2024-11-29-11:32:55,pointer <Lpoint64> unsorted,17747769,neighSearch,Square,5,1000,5,0.146043,0.0292086,0.0291104,0.00116868,1
2024-11-29-11:32:55,pointer <Lpoint64> unsorted,17747769,neighSearch,Sphere,10,1000,5,0.347211,0.0694422,0.0699496,0.0021845,1
2024-11-29-11:32:56,pointer <Lpoint64> unsorted,17747769,neighSearch,Circle,10,1000,5,0.48765,0.0975299,0.10001,0.00618993,1
2024-11-29-11:32:57,pointer <Lpoint64> unsorted,17747769,neighSearch,Cube,10,1000,5,0.449384,0.0898768,0.0897443,0.00269801,1
2024-11-29-11:32:57,pointer <Lpoint64> unsorted,17747769,neighSearch,Square,10,1000,5,0.563645,0.112729,0.110705,0.00291065,1
2024-11-29-11:32:57,pointer <Lpoint64> unsorted,17747769,numNeighSearch,Sphere,0.5,1000,5,0.0151606,0.00303213,0.00374412,0.00104266,1
2024-11-29-11:32:57,pointer <Lpoint64> unsorted,17747769,numNeighSearch,Circle,0.5,1000,5,0.014566,0.00291319,0.00286664,0.00053954,1
2024-11-29-11:32:57,pointer <Lpoint64> unsorted,17747769,numNeighSearch,Cube,0.5,1000,5,0.0124806,0.00249612,0.00176965,0.00156712,1
2024-11-29-11:32:57,pointer <Lpoint64> unsorted,17747769,numNeighSearch,Square,0.5,1000,5,0.0162481,0.00324961,0.00353424,0.00112947,1
2024-11-29-11:32:57,pointer <Lpoint64> unsorted,17747769,numNeighSearch,Sphere,1,1000,5,0.015751,0.0031502,0.00324736,0.000999994,1
2024-11-29-11:32:57,pointer <Lpoint64> unsorted,17747769,numNeighSearch,Circle,1,1000,5,0.0212274,0.00424547,0.00408682,0.00119967,1
2024-11-29-11:32:57,pointer <Lpoint64> unsorted,17747769,numNeighSearch,Cube,1,1000,5,0.0189897,0.00379793,0.00371771,0.00147324,1
2024-11-29-11:32:57,pointer <Lpoint64> unsorted,17747769,numNeighSearch,Square,1,1000,5,0.019022,0.00380441,0.00352696,0.000584455,1
2024-11-29-11:32:57,pointer <Lpoint64> unsorted,17747769,numNeighSearch,Sphere,2.5,1000,5,0.0266557,0.00533114,0.00365279,0.00257651,1
2024-11-29-11:32:57,pointer <Lpoint64> unsorted,17747769,numNeighSearch,Circle,2.5,1000,5,0.0252116,0.00504232,0.00527361,0.00161383,1
2024-11-29-11:32:57,pointer <Lpoint64> unsorted,17747769,numNeighSearch,Cube,2.5,1000,5,0.0168817,0.00337634,0.00323846,0.000721598,1
2024-11-29-11:32:57,pointer <Lpoint64> unsorted,17747769,numNeighSearch,Square,2.5,1000,5,0.0232235,0.0046447,0.00406843,0.00128488,1
2024-11-29-11:32:57,pointer <Lpoint64> unsorted,17747769,numNeighSearch,Sphere,5,1000,5,0.0292416,0.00584833,0.00516839,0.00140767,1
2024-11-29-11:32:58,pointer <Lpoint64> unsorted,17747769,numNeighSearch,Circle,5,1000,5,0.0283504,0.00567007,0.00530783,0.0011454,1
2024-11-29-11:32:58,pointer <Lpoint64> unsorted,17747769,numNeighSearch,Cube,5,1000,5,0.0276837,0.00553673,0.00530542,0.00132255,1
2024-11-29-11:32:58,pointer <Lpoint64> unsorted,17747769,numNeighSearch,Square,5,1000,5,0.0270078,0.00540157,0.00532447,0.000906512,1
2024-11-29-11:32:58,pointer <Lpoint64> unsorted,17747769,numNeighSearch,Sphere,10,1000,5,0.0426352,0.00852703,0.00876888,0.000756029,1
2024-11-29-11:32:58,pointer <Lpoint64> unsorted,17747769,numNeighSearch,Circle,10,1000,5,0.0498324,0.00996648,0.00971816,0.000708484,1
2024-11-29-11:32:58,pointer <Lpoint64> unsorted,17747769,numNeighSearch,Cube,10,1000,5,0.0490783,0.00981565,0.00897252,0.00165144,1
2024-11-29-11:32:58,pointer <Lpoint64> unsorted,17747769,numNeighSearch,Square,10,1000,5,0.0580861,0.0116172,0.0116676,0.00156105,1
2024-11-29-11:33:01,linear <Lpoint64> ,17747769,neighSearch,Sphere,0.5,1000,5,0.0129011,0.00258023,0.0024728,0.000805021,1
2024-11-29-11:33:01,linear <Lpoint64> ,17747769,neighSearch,Circle,0.5,1000,5,0.0236426,0.00472853,0.00468427,0.000562364,1
2024-11-29-11:33:01,linear <Lpoint64> ,17747769,neighSearch,Cube,0.5,1000,5,0.0134763,0.00269525,0.00283007,0.000351117,1
2024-11-29-11:33:01,linear <Lpoint64> ,17747769,neighSearch,Square,0.5,1000,5,0.0320598,0.00641197,0.00637195,0.00132504,1
2024-11-29-11:33:01,linear <Lpoint64> ,17747769,neighSearch,Sphere,1,1000,5,0.0130015,0.00260029,0.00248848,0.000584646,1
2024-11-29-11:33:01,linear <Lpoint64> ,17747769,neighSearch,Circle,1,1000,5,0.0236919,0.00473838,0.0044118,0.000803254,1
2024-11-29-11:33:01,linear <Lpoint64> ,17747769,neighSearch,Cube,1,1000,5,0.0169392,0.00338783,0.0033585,0.0012397,1
2024-11-29-11:33:01,linear <Lpoint64> ,17747769,neighSearch,Square,1,1000,5,0.0255904,0.00511808,0.00457881,0.000879117,1
2024-11-29-11:33:01,linear <Lpoint64> ,17747769,neighSearch,Sphere,2.5,1000,5,0.0231068,0.00462136,0.00473055,0.000659086,1
2024-11-29-11:33:01,linear <Lpoint64> ,17747769,neighSearch,Circle,2.5,1000,5,0.0418024,0.00836049,0.00790386,0.000880734,1
2024-11-29-11:33:01,linear <Lpoint64> ,17747769,neighSearch,Cube,2.5,1000,5,0.021137,0.00422739,0.00415295,0.000633142,1
2024-11-29-11:33:01,linear <Lpoint64> ,17747769,neighSearch,Square,2.5,1000,5,0.0439386,0.00878773,0.00853106,0.000802766,1
2024-11-29-11:33:01,linear <Lpoint64> ,17747769,neighSearch,Sphere,5,1000,5,0.0550046,0.0110009,0.0113206,0.000693581,1
2024-11-29-11:33:02,linear <Lpoint64> ,17747769,neighSearch,Circle,5,1000,5,0.0976675,0.0195335,0.0196363,0.000605127,1
2024-11-29-11:33:02,linear <Lpoint64> ,17747769,neighSearch,Cube,5,1000,5,0.055528,0.0111056,0.0111752,0.000837733,1
2024-11-29-11:33:02,linear <Lpoint64> ,17747769,neighSearch,Square,5,1000,5,0.0966237,0.0193247,0.0194257,0.00143056,1
2024-11-29-11:33:02,linear <Lpoint64> ,17747769,neighSearch,Sphere,10,1000,5,0.178706,0.0357412,0.0356803,0.00146503,1
2024-11-29-11:33:02,linear <Lpoint64> ,17747769,neighSearch,Circle,10,1000,5,0.273638,0.0547277,0.0539644,0.00162808,1
2024-11-29-11:33:03,linear <Lpoint64> ,17747769,neighSearch,Cube,10,1000,5,0.195113,0.0390226,0.0385672,0.00132536,1
2024-11-29-11:33:03,linear <Lpoint64> ,17747769,neighSearch,Square,10,1000,5,0.274066,0.0548131,0.0545483,0.00046484,1
2024-11-29-11:33:03,linear <Lpoint64> ,17747769,numNeighSearch,Sphere,0.5,1000,5,0.0111996,0.00223993,0.00176812,0.000710422,1
2024-11-29-11:33:03,linear <Lpoint64> ,17747769,numNeighSearch,Circle,0.5,1000,5,0.0200185,0.0040037,0.00380879,0.000602927,1
2024-11-29-11:33:03,linear <Lpoint64> ,17747769,numNeighSearch,Cube,0.5,1000,5,0.0134037,0.00268073,0.00290136,0.00050891,1
