date,octree,point_type,encoder,npoints,operation,kernel,radius,num_searches,sequential_searches,repeats,accumulated,mean,median,stdev,used_warmup,warmup_time,avg_result_size,tolerance_percentage,openmp_threads,openmp_schedule,l1d_miss,l2d_miss,l3_miss
2025-07-09-15:56:39,Octree,Point,MortonEncoder3D,429615314,neighborsPtr,square,0.01,10000,random,5,5.6453,1.12906,1.1362,0.0193186,1,1.13798,28010,0,40,dynamic,16379897,24583480,14872810
2025-07-09-15:57:19,Octree,Point,MortonEncoder3D,429615314,neighborsPtr,square,0.05,10000,random,5,32.9553,6.59105,6.52805,0.172601,1,6.64893,323961,0,40,dynamic,92304011,128877444,79152610
2025-07-09-15:58:47,Octree,Point,MortonEncoder3D,429615314,neighborsPtr,square,0.1,10000,random,5,73.1595,14.6319,14.6269,0.344184,1,14.7612,822445,0,40,dynamic,189900333,265009349,160995385
2025-07-09-16:02:19,Octree,Point,MortonEncoder3D,429615314,neighborsPtr,square,0.2,10000,random,5,177.076,35.4152,35.7401,0.819889,1,34.8319,2106487,0,40,dynamic,496269578,690369188,417800774
2025-07-09-16:02:19,Octree,Point,MortonEncoder3D,429615314,neighborsPtr,cube,0.01,10000,random,5,0.125198,0.0250395,0.0249476,0.000175081,1,0.0266131,500,0,40,dynamic,436048,586940,370444
2025-07-09-16:02:21,Octree,Point,MortonEncoder3D,429615314,neighborsPtr,cube,0.05,10000,random,5,1.69911,0.339822,0.338466,0.00474392,1,0.341251,21326,0,40,dynamic,7310439,9483244,5062469
2025-07-09-16:02:29,Octree,Point,MortonEncoder3D,429615314,neighborsPtr,cube,0.1,10000,random,5,6.44472,1.28894,1.28301,0.0101301,1,1.28254,82382,0,40,dynamic,25874274,34482694,19471914
2025-07-09-16:02:58,Octree,Point,MortonEncoder3D,429615314,neighborsPtr,cube,0.2,10000,random,5,24.6317,4.92634,4.91769,0.034917,1,4.89474,319446,0,40,dynamic,83784964,113760290,67870619
2025-07-09-16:03:34,LinearOctree,Point,MortonEncoder3D,429615314,neighbors,circle,0.01,10000,random,5,2.98559,0.597117,0.600821,0.00757917,1,0.599233,25239,0,40,dynamic,12308151,16527796,9653122
2025-07-09-16:03:56,LinearOctree,Point,MortonEncoder3D,429615314,neighbors,circle,0.05,10000,random,5,18.2875,3.6575,3.68095,0.0807441,1,3.57341,285771,0,40,dynamic,80625544,106707922,56880651
