date,octree,npoints,operation,kernel,radius,num_searches,repeats,accumulated,mean,median,stdev,used_warmup
2024-11-29-10:55:01,linear <Lpoint> ,10000000,numNeighSearch,Square,1,1000,5,0.175446,0.0350891,0.035499,0.00140198,1
2024-11-29-10:55:01,linear <Lpoint> ,10000000,numNeighSearch,Sphere,2.5,1000,5,0.00968195,0.00193639,0.00186935,0.000204014,1
2024-11-29-10:55:01,linear <Lpoint> ,10000000,numNeighSearch,Circle,2.5,1000,5,0.0105038,0.00210075,0.0021549,0.000487839,1
2024-11-29-10:55:02,linear <Lpoint> ,10000000,numNeighSearch,Cube,2.5,1000,5,0.507259,0.101452,0.102523,0.00161449,1
2024-11-29-10:55:03,linear <Lpoint> ,10000000,numNeighSearch,Square,2.5,1000,5,0.614496,0.122899,0.123174,0.00123628,1
2024-11-29-10:55:03,linear <Lpoint> ,10000000,numNeighSearch,Sphere,5,1000,5,0.0107298,0.00214596,0.00211192,0.00059547,1
2024-11-29-10:55:03,linear <Lpoint> ,10000000,numNeighSearch,Circle,5,1000,5,0.0109843,0.00219686,0.00211906,0.000650165,1
2024-11-29-10:55:05,linear <Lpoint> ,10000000,numNeighSearch,Cube,5,1000,5,1.75963,0.351927,0.350698,0.00332981,1
2024-11-29-10:55:10,linear <Lpoint> ,10000000,numNeighSearch,Square,5,1000,5,4.82395,0.964791,0.376492,1.17227,1
2024-11-29-10:55:10,linear <Lpoint> ,10000000,numNeighSearch,Sphere,10,1000,5,0.0107652,0.00215304,0.00252196,0.000892109,1
2024-11-29-10:55:10,linear <Lpoint> ,10000000,numNeighSearch,Circle,10,1000,5,0.00959239,0.00191848,0.00151186,0.000810295,1
2024-11-29-10:55:17,linear <Lpoint> ,10000000,numNeighSearch,Cube,10,1000,5,6.09948,1.2199,1.21853,0.00849159,1
2024-11-29-10:55:25,linear <Lpoint> ,10000000,numNeighSearch,Square,10,1000,5,6.09046,1.21809,1.21653,0.00932442,1
2024-11-29-10:55:25,pointer <Lpoint> sorted,10000000,neighSearch,Sphere,0.5,1000,5,0.0534272,0.0106854,0.00987284,0.00191064,1
2024-11-29-10:55:26,pointer <Lpoint> sorted,10000000,neighSearch,Circle,0.5,1000,5,0.0917546,0.0183509,0.0184997,0.00102752,1
2024-11-29-10:55:26,pointer <Lpoint> sorted,10000000,neighSearch,Cube,0.5,1000,5,0.0496293,0.00992585,0.00970294,0.000530483,1
2024-11-29-10:55:26,pointer <Lpoint> sorted,10000000,neighSearch,Square,0.5,1000,5,0.0971567,0.0194313,0.0196627,0.000623907,1
2024-11-29-10:55:26,pointer <Lpoint> sorted,10000000,neighSearch,Sphere,1,1000,5,0.133916,0.0267832,0.026586,0.000952596,1
2024-11-29-10:55:26,pointer <Lpoint> sorted,10000000,neighSearch,Circle,1,1000,5,0.211112,0.0422224,0.0422948,0.00054407,1
2024-11-29-10:55:26,pointer <Lpoint> sorted,10000000,neighSearch,Cube,1,1000,5,0.147728,0.0295456,0.0295287,0.000911618,1
2024-11-29-10:55:27,pointer <Lpoint> sorted,10000000,neighSearch,Square,1,1000,5,0.223209,0.0446419,0.0443539,0.00124753,1
2024-11-29-10:55:28,pointer <Lpoint> sorted,10000000,neighSearch,Sphere,2.5,1000,5,0.748823,0.149765,0.149703,0.000811537,1
2024-11-29-10:55:29,pointer <Lpoint> sorted,10000000,neighSearch,Circle,2.5,1000,5,0.905704,0.181141,0.179607,0.00208463,1
2024-11-29-10:55:30,pointer <Lpoint> sorted,10000000,neighSearch,Cube,2.5,1000,5,0.832901,0.16658,0.165099,0.00414329,1
2024-11-29-10:55:31,pointer <Lpoint> sorted,10000000,neighSearch,Square,2.5,1000,5,0.975453,0.195091,0.194694,0.00230473,1
2024-11-29-10:55:34,pointer <Lpoint> sorted,10000000,neighSearch,Sphere,5,1000,5,2.79373,0.558746,0.559819,0.0029729,1
2024-11-29-10:55:38,pointer <Lpoint> sorted,10000000,neighSearch,Circle,5,1000,5,3.04916,0.609832,0.610284,0.00341167,1
2024-11-29-10:55:45,pointer <Lpoint> sorted,10000000,neighSearch,Cube,5,1000,5,6.08495,1.21699,0.623343,1.1859,1
2024-11-29-10:55:49,pointer <Lpoint> sorted,10000000,neighSearch,Square,5,1000,5,3.39847,0.679694,0.6767,0.0104827,1
2024-11-29-10:56:00,pointer <Lpoint> sorted,10000000,neighSearch,Sphere,10,1000,5,9.83928,1.96786,1.96677,0.0135268,1
2024-11-29-10:56:12,pointer <Lpoint> sorted,10000000,neighSearch,Circle,10,1000,5,9.89323,1.97865,1.97734,0.00311869,1
2024-11-29-10:56:28,pointer <Lpoint> sorted,10000000,neighSearch,Cube,10,1000,5,14.0205,2.80409,2.25124,1.15083,1
2024-11-29-10:56:41,pointer <Lpoint> sorted,10000000,neighSearch,Square,10,1000,5,10.7254,2.14508,2.14557,0.00440645,1
2024-11-29-10:56:41,pointer <Lpoint> sorted,10000000,numNeighSearch,Sphere,0.5,1000,5,0.0195267,0.00390533,0.00383156,0.000822541,1
2024-11-29-10:56:41,pointer <Lpoint> sorted,10000000,numNeighSearch,Circle,0.5,1000,5,0.0172553,0.00345107,0.00335063,0.000807568,1
2024-11-29-10:56:41,pointer <Lpoint> sorted,10000000,numNeighSearch,Cube,0.5,1000,5,0.013493,0.00269861,0.00248734,0.000719171,1
2024-11-29-10:56:41,pointer <Lpoint> sorted,10000000,numNeighSearch,Square,0.5,1000,5,0.0141566,0.00283132,0.00280615,0.000812062,1
2024-11-29-10:56:41,pointer <Lpoint> sorted,10000000,numNeighSearch,Sphere,1,1000,5,0.0163307,0.00326614,0.00323243,0.000625731,1
2024-11-29-10:56:41,pointer <Lpoint> sorted,10000000,numNeighSearch,Circle,1,1000,5,0.0206841,0.00413683,0.00396721,0.000645384,1
2024-11-29-10:56:41,pointer <Lpoint> sorted,10000000,numNeighSearch,Cube,1,1000,5,0.0166965,0.00333929,0.00300754,0.00129275,1
2024-11-29-10:56:42,pointer <Lpoint> sorted,10000000,numNeighSearch,Square,1,1000,5,0.0177402,0.00354803,0.00371264,0.000601352,1
2024-11-29-10:56:42,pointer <Lpoint> sorted,10000000,numNeighSearch,Sphere,2.5,1000,5,0.039091,0.00781821,0.00750932,0.000734912,1
2024-11-29-10:56:42,pointer <Lpoint> sorted,10000000,numNeighSearch,Circle,2.5,1000,5,0.0406779,0.00813558,0.00798082,0.000461367,1
2024-11-29-10:56:42,pointer <Lpoint> sorted,10000000,numNeighSearch,Cube,2.5,1000,5,0.0426624,0.00853249,0.00824001,0.000767684,1
2024-11-29-10:56:42,pointer <Lpoint> sorted,10000000,numNeighSearch,Square,2.5,1000,5,0.0399928,0.00799855,0.00775924,0.000929622,1
2024-11-29-10:56:42,pointer <Lpoint> sorted,10000000,numNeighSearch,Sphere,5,1000,5,0.114581,0.0229162,0.0226826,0.00135697,1
2024-11-29-10:56:42,pointer <Lpoint> sorted,10000000,numNeighSearch,Circle,5,1000,5,0.10638,0.021276,0.0210863,0.000823664,1
2024-11-29-10:56:42,pointer <Lpoint> sorted,10000000,numNeighSearch,Cube,5,1000,5,0.112574,0.0225148,0.0224028,0.00063539,1
2024-11-29-10:56:42,pointer <Lpoint> sorted,10000000,numNeighSearch,Square,5,1000,5,0.113942,0.0227883,0.0222947,0.00127008,1
2024-11-29-10:56:43,pointer <Lpoint> sorted,10000000,numNeighSearch,Sphere,10,1000,5,0.399683,0.0799367,0.0804687,0.0023008,1
2024-11-29-10:56:43,pointer <Lpoint> sorted,10000000,numNeighSearch,Circle,10,1000,5,0.34201,0.068402,0.0684279,0.000737632,1
2024-11-29-10:56:44,pointer <Lpoint> sorted,10000000,numNeighSearch,Cube,10,1000,5,0.393515,0.0787029,0.0783027,0.00104345,1
2024-11-29-10:56:44,pointer <Lpoint> sorted,10000000,numNeighSearch,Square,10,1000,5,0.340965,0.068193,0.0688594,0.00137164,1
